id,year,split,week,day,isPlayoffs,team1,team2,top1,jungle1,mid1,bot1,support1,top2,jungle2,mid2,bot2,support2,winner,blueside,redside,mvp,gameTime,team1Stats,team2Stats,team1Bans,team2Bans,team1Picks,team2Picks,dragonSoul
11,2022,Spring,2,1,0,Evil Geniuses,Dignitas QNTMPAY ,Impact,Inspired,Jojopyun,Danny,Vulcan,Fakegod,River,Blue,Neo,Biofrost,Evil Geniuses,Dignitas QNTMPAY,Evil Geniuses,Jojopyun,46:01,8-8-4-2-80.8k--0-2-7-51--3-0-3-355--1-0-1-497--4-0-4-535--0-1-6-46,3-10-3-0-78.7k--0-1-1-362--1-3-2-250--2-1-1-459--0-1-1-504--0-2-2-30,ZERI-JARVAN IV-GWEN-SYNDRA-LEBLANC,DIANA-APHELIOS-TAHM KENCH-RYZE-NAUTILUS,KARMA-OLAF-CORKI-JINX-LEONA,RENEKTON-XIN ZHAO-AHRI-CAITLYN-LUX,MOUNTAIN
12,2022,Spring,2,1,0,Immortals,100 Thieves,Revenge,Xerxe,PowerOfEvil,Wildturtle,Destiny,Ssumday,Closer,Abbedagge,FBI,Huhi,Immortals,100 Thieves,Immortals,Wildturtle,34:33,14-8-2-0-62.9k--5-2-7-332--1-2-10-178--2-2-8-293--6-2-6-338--0-4-10-29,12-4-3-1-62.7k--3-1-6-322--7-2-5-225--0-4-3-304--1-3-6-321--1-4-2-58,ZERI-CAITLYN-GWEN-NAUTILUS-LEONA,KARMA-AHRI-JARVAN IV-LULU-THRESH,GRAVES-XIN ZHAO-SYNDRA-JINX-TAHM KENCH,RENEKTON-VIEGO-RYZE-APHELIOS-SETT,MOUNTAIN
13,2022,Spring,2,1,0,Team Liquid,Cloud9,Bwipo,Santorin,Bjergsen,Hans Sama,Eyla,Summit,Blaber,Fudge,Berserker,Winsome,Team Liquid,Team Liquid,Cloud9,Hans Sama,38:54,17-7-4-0-72.4k--2-2-11-264--3-3-5-232--3-1-8-397--8-1-7-415--1-4-11-40,11-4-2-2-71.4k--2-4-4-302--1-4-7-310--3-2-2-422--4-4-5-338--1-3-6-42,KARMA-APHELIOS-GWEN-LEONA-GNAR,CAITLYN-ZERI-XIN ZHAO-ZILEAN-AHRI,GRAGAS-VIEGO-CORKI-JINX-THRESH,AATROX-KARTHUS-IRELIA-JHIN-RAKAN,INFERNAL
14,2022,Spring,2,1,0,Golden Guardians,Counter Logic Gaming,Licorice,Pridestalker,Ablazeolive,Lost,Olleh,Jenkins,Contractz,Palafox,Luger,Poome,Golden Guardians,Golden Guardians,Counter Logic Gaming,Lost,39:09,17-11-4-3-75.9k--2-2-3-330--4-4-7-298--2-3-5-280--8-0-7-354--1-2-6-42,11-1-2-0-63.1k--2-3-5-311--2-7-5-214--3-2-4-305--3-2-3-381--1-3-4-42,KARMA-DIANA-CAITLYN-RYZE-AHRI,ZERI-GWEN-JARVAN IV-CORKI-VEX,RENEKTON-XIN ZHAO-VIKTOR-APHELIOS-LEONA,ORNN-LEE SIN-SYLAS-JINX-THRESH,HEXTECH
15,2022,Spring,2,1,0,Team SoloMid,FlyQuest,Huni,Spica,Keaiduo,Tactical,Shenyi,Kumo,Josedeodo,Toucouille,Johnsun,Aphromoo,FlyQuest,TeamSolo Mid,FlyQuest,Toucouille,25:12,5-3-0-0-41.3k--2-5-2-194--0-4-1-136--1-1-4-248--2-5-3-169--0-7-3-30,22-10-4-1-51.7k--1-1-14-175--3-2-13-146--8-0-10-212--8-1-8-251--2-1-13-24,XIN ZHAO-SYNDRA-KARMA-ORIANNA-CORKI,ZERI-RYZE-GWEN-THRESH-RELL,RENEKTON-LEE SIN-VIKTOR-APHELIOS-RAKAN,ORNN-JARVAN IV-ZOE-JINX-TAHM KENCH,INFERNAL
16,2022,Spring,2,2,0,Immortals,Cloud9,Revenge,Xerxe,PowerOfEvil,Wildturtle,Destiny,Summit,Blaber,Fudge,Berserker,Winsome,Cloud9,Immortals,Cloud9,Berserker,30:30,3-2-1-0-48.2k--1-3-0-276--0-3-0-171--0-2-2-296--2-2-1-271--0-2-1-37,12-9-4-1-56.7k--2-1-4-238--3-1-4-237--3-1-7-256--4-0-5-298--0-2-11-15,IRELIA-APHELIOS-CAITLYN-TRYNDAMERE-LEBLANC,AHRI-ZERI-GWEN-SYNDRA-CORKI,JAYCE-VIEGO-VIKTOR-JINX-LEONA,MALPHITE-XIN ZHAO-ZILEAN-EZREAL-KARMA,HEXTECH
17,2022,Spring,2,2,0,Team SoloMid,Golden Guardians,Huni,Spica,Keaiduo,Tactical,Shenyi,Licorice,Pridestalker,Ablazeolive,Lost,Olleh,Golden Guardians,TeamSolo Mid,Golden Guardians,Pridestalker,43:36,23-8-2-1-84.3k--1-5-19-34--10-6-8-270--2-3-11-365--8-6-8-524--2-9-16-42,29-11-5-2-86.2k--4-5-10-379--11-2-6-272--4-7-14-253--8-4-11-317--2-5-14-50,JARVAN IV-KARMA-YUMMI-CORKI-RYZE,ZERI-GWEN-CAITLYN-SYNDRA-AHRI,LULU-XIN ZHAO-VEX-JINX-RELL,GRAVES-ZED-VIKTOR-APHELIOS-LEONA,OCEAN
18,2022,Spring,2,2,0,Evil Geniuses,100 Thieves,Impact,Inspired,Jojopyun,Danny,Vulcan,Ssumday,Closer,Abbedagge,FBI,Huhi,100 Thieves,Evil Geniuses,100 Thieves,Ssumday,38:08,7-2-2-0-61.8k--2-2-1-343--0-4-2-226--3-4-1-267--2-3-1-401--0-6-3-30,19-10-4-1-72.8k--7-1-6-362--2-2-15-191--7-1-10-367--2-2-14-80--1-1-9-216,APHELIOS-CAITLYN-KARMA-AZIR-AHRI,ZERI-GWEN-JINX-RYZE-CORKI,GRAVES-XIN ZHAO-AKALI-EZREAL-TAHM KENCH,TRYNDAMERE-JARVAN IV-VIKTOR-SENNA-SETT,INFERNAL
19,2022,Spring,2,2,0,Team Liquid,FlyQuest,Bwipo,Santorin,Bjergsen,Hans Sama,Eyla,Kumo,Josedeodo,Toucouille,Johnsun,Aphromoo,Team Liquid,FlyQuest,Team Liquid,Bwipo,37:31,14-9-4-1-72.3k--7-3-3-397--1-0-9-186--4-1-6-364--1-2-8-370--1-5-8-37,11-3-1-0-63.7k--5-4-1-346--1-3-10-179--3-1-2-340--2-4-7-339--0-2-7-34,ZERI-GWEN-KARMA-RAKAN-NAUTILUS,CAITLYN-THRESH-TAHM KENCH-XIN ZHAO-LEE SIN,JAYCE-TRUNDLE-CORKI-APHELIOS-LEONA,GRAVES-JARVAN IV-ORIANNA-JINX-BRAUM,CLOUD
20,2022,Spring,2,2,0,Dignitas QNTMPAY ,Counter Logic Gaming,Fakegod,River,Blue,Neo,Biofrost,Jenkins,Contractz,Palafox,Luger,Poome,Dignitas QNTMPAY,Counter Logic Gaming,Dignitas QNTMPAY,River,37:15,13-11-5-2-72.7k--1-2-4-381--0-2-6-172--2-1-9-339--10-0-2-378--0-2-12-19,7-2-1-0-62k--2-2-2-356--1-4-6-219--1-2-4-362--2-2-2-336--1-3-6-8,GWEN-ZERI-RYZE-TWISTED FATE-AHRI,JARVAN IV-THRESH-OLAF-NAUTILUS-LEONA,TRYNDAMERE-POPPY-CORKI-JINX-KARMA,GRAVES-XIN ZHAO-ORIANNA-JHIN-YUUMI,OCEAN
